ROUND label=64k phases=ladder,k start=2026-09-15T14:59:51Z
WAIT-FOREIGN-PARFAST ['43418 /root/cg512-15sep/parfast r -t4 -q -m128 set.par2'] (0m) ts=2026-09-15T14:59:51Z
LOCK-BUSY /root/.parfast-rig.lock
WAIT-LOCK ts=2026-09-15T15:07:52Z
WAIT-FOREIGN-PARFAST ['63279 /root/cg512-15sep/parfast r -t4 -q set.par2'] (0m) ts=2026-09-15T15:08:52Z
LOCK-BUSY /root/.parfast-rig.lock
WAIT-LOCK ts=2026-09-15T15:18:52Z
WAIT-FOREIGN-PARFAST ['89859 /root/cg512-15sep/parfast r -t4 -q set.par2'] (0m) ts=2026-09-15T15:19:52Z
RIG-LOCK-TAKEN /root/.parfast-rig.lock pid=43650
BOX host=amd-epyc-vm cpu=AMD EPYC 9354P 32-Core Processor cores=8 ram_gb=31.3 os=Ubuntu 24.04.4 LTS (kernel 6.8.0-137-generic) free_gb=167.1
BIN parfast sha256=98b975c57c4c0be8598f673ff95df7c6347b3f92ad62849fc483b1747c011774 bytes=2699832 version=parfast version 1.5.0-beta.3 built from unknown
HARNESS pdrv.py sha256=15b7557472cfe2479cba688747e9ab8440a70360987fd77a9bc5b7faed4b73ff bytes=33582
HARNESS rowgate.py sha256=a31d9117cc83d61d91420fd49ee1d64d8156de898bc53d5e92c4d4694f48c805 bytes=20650
HARNESS-RIG pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
CREATE fix=/root/rowgate-15sep/scratch/fix64k members=16 x 64 MiB slice=65536 recovery=4096 secs=4.1
FIXTURE fix=/root/rowgate-15sep/scratch/fix64k n=16384 slice=65536 recovery=4096 files=30
PLAN label=64k rungs=[96, 128, 160, 192, 224, 256, 288, 320, 384, 512] threads=[4, 8] reps=2 kf=[192, 512, 1024, 2048, 4096] kp=[256, 1024, 4096] kthreads=[4, 8] out=/root/rowgate-15sep/rowgate-64k.jsonl
LEG 64k-ladder-m96-big-fold-t4-r1          ok path=fold wall=   2.07 cpu=   10.50 W=[] win=0 slabs=1 foreign=8.1/8.2 steal=6.42 load=2.2/2.2 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m96-big-force-t4-r1         ok path=ntt  wall=   3.02 cpu=   13.84 W=[512] win=0 slabs=1 foreign=8.2/8.2 steal=4.02 load=2.2/2.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m96-big-force2-t4-r1        ok path=ntt  wall=   2.71 cpu=   12.75 W=[512] win=0 slabs=1 foreign=8.2/8.2 steal=0.82 load=2.6/2.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
